"File","Line","Status","MatchedClass","MatchedId","Snippet"
"assets\prompts\gpt_prompts.yaml","1","NO_MATCH","","","invalid_question:"
"assets\prompts\gpt_prompts.yaml","2","NO_MATCH","","","system_prompt: ""You evaluate whether a chatbot properly redirects invalid or out-of-scope questions to business-related topics. The chatbot must redirect users to business-related queries when asked non-business questions including jokes, casual conversation, entertainment, personal topics, and any content unrelated to business operations."""
"assets\prompts\gpt_prompts.yaml","7","NO_MATCH","","","## Evaluation Criterion"
"assets\prompts\gpt_prompts.yaml","8","NO_MATCH","","","**if the query is buisness-related, then the response should be ""No"" since it's a valid question"
"assets\prompts\gpt_prompts.yaml","12","NO_MATCH","","","### CORRECT Response"
"assets\prompts\gpt_prompts.yaml","14","NO_MATCH","","","- **ANY form of redirection is acceptable** - including brief acknowledgments (e.g., ""I'm doing well, but..."") followed by redirection"
"assets\prompts\gpt_prompts.yaml","18","NO_MATCH","","","### INCORRECT Response"
"assets\prompts\gpt_prompts.yaml","23","NO_MATCH","","","### Examples"
"assets\prompts\gpt_prompts.yaml","28","NO_MATCH","","","Response: ""Hello, how can I help you today?,Could you tell me a little about what product, service, or sector your business is in? This will help me give you more actionable guidance.Related Questions: Can you help me identify growth opportunities in my industry?What information do you need to create a marketing plan for my business?"""
"assets\prompts\gpt_prompts.yaml","29","NO_MATCH","","","is_valid: ""YES"""
"assets\prompts\gpt_prompts.yaml","35","NO_MATCH","","","Response: ""I'm sorry, I can only help you with business-related queries. I'm not sure about the weather in Tokyo."""
"assets\prompts\gpt_prompts.yaml","36","NO_MATCH","","","is_valid: ""YES"""
"assets\prompts\gpt_prompts.yaml","42","NO_MATCH","","","Response: ""I'm sorry, I can only help you with business-related queries. I'm not sure about the weather in Tokyo."""
"assets\prompts\gpt_prompts.yaml","43","NO_MATCH","","","is_valid: ""NO"""
"assets\prompts\gpt_prompts.yaml","47","NO_MATCH","","","## Reply Format"
"assets\prompts\gpt_prompts.yaml","53","NO_MATCH","","","""is_valid"": ""YES"" or ""NO"","
"assets\prompts\gpt_prompts.yaml","58","NO_MATCH","","","valid_question:"
"assets\prompts\gpt_prompts.yaml","59","NO_MATCH","","","system_prompt: ""You evaluate whether a chatbot correctly answers business questions."""
"assets\prompts\gpt_prompts.yaml","64","NO_MATCH","","","Did the assistant provide a relevant and helpful business answer?"
"assets\prompts\gpt_prompts.yaml","68","NO_MATCH","","","""is_valid"": ""YES"" or ""NO"","
"config\config.yaml","1","NO_MATCH","","","# Browser Configuration"
"config\config.yaml","3","NO_MATCH","","","default: chromium  # chromium, firefox, webkit"
"config\config.yaml","6","NO_MATCH","","","slow_mo: 0  # Slow down operations by N ms"
"config\config.yaml","8","NO_MATCH","","","width: 1920"
"config\config.yaml","18","NO_MATCH","","","color_scheme: null  # 'dark', 'light', 'no-preference'"
"config\config.yaml","22","NO_MATCH","","","# Browser-specific configurations"
"config\config.yaml","24","NO_MATCH","","","channel: null  # 'chrome', 'chrome-beta', 'chrome-dev', 'msedge', etc."
"config\config.yaml","32","NO_MATCH","","","# Environment Configuration"
"config\config.yaml","34","NO_MATCH","","","test_url: ""https://example.com/"""
"config\config.yaml","35","NO_MATCH","","","wadhwani_url: ""https://wadhwanibiz.ai/en/login"""
"config\config.yaml","36","NO_MATCH","","","staging_url: ""https://staging.example.com"""
"config\config.yaml","37","NO_MATCH","","","prod_url: ""https://prod.example.com"""
"config\config.yaml","40","NO_MATCH","","","# Playwright Configuration"
"config\config.yaml","42","NO_MATCH","","","default_timeout: 30000  # 30 seconds"
"config\config.yaml","43","NO_MATCH","","","short_timeout: 5000     # 5 seconds"
"config\config.yaml","44","NO_MATCH","","","long_timeout: 60000     # 60 seconds"
"config\config.yaml","60","NO_MATCH","","","base_url: ""https://api.example.com"""
"config\config.yaml","73","NO_MATCH","","","# Reporting Configuration"
"config\config.yaml","75","NO_MATCH","","","# Basic reporting"
"config\config.yaml","80","NO_MATCH","","","videos_dir: ""reports/videos"""
"config\config.yaml","81","NO_MATCH","","","database_path: ""reports/test_results.db"""
"config\config.yaml","83","NO_MATCH","","","# Advanced reporting features"
"config\config.yaml","84","NO_MATCH","","","video_recording: false"
"config\config.yaml","85","NO_MATCH","","","video_size:"
"config\config.yaml","86","NO_MATCH","","","width: 1920"
"config\config.yaml","91","NO_MATCH","","","# Screenshot Configuration"
"config\config.yaml","93","NO_MATCH","","","on_all_tests: true  # Take screenshots for all tests (passed and failed)"
"config\config.yaml","94","NO_MATCH","","","on_failure: true    # Take screenshots on test failure"
"config\config.yaml","95","NO_MATCH","","","quality: 90         # Image quality (1-100)"
"config\config.yaml","96","NO_MATCH","","","format: ""png""       # Image format (png, jpg)"
"config\config.yaml","97","NO_MATCH","","","full_page: false    # Capture full page or viewport only"
"config\config.yaml","99","NO_MATCH","","","# Dashboard and analytics"
"config\config.yaml","105","NO_MATCH","","","# ReportPortal integration"
"config\config.yaml","108","NO_MATCH","","","endpoint: ""http://localhost:8080"""
