"File","Line","Tag","Id","Class","IdRaw","ClassRaw","Snippet"
"app\components\AlertNotification\index.tsx","35","Button","","cancel_action_button","","'cancel_action_button'","{props.dismissButton && <Button className='cancel_action_button' onClick={() => {"
"app\components\AlertNotification\index.tsx","41","Button","","action_button","","'action_button'","{props.actionButton && <Button className='action_button' onClick={() => {"
"app\components\atoms\Button\PrimaryButton\index.tsx","37","Button","","{expr:style}","","{style}","return <Button className={style} type=""default"" {...rest}>{children}</Button>;"
"app\components\atoms\Button\SecondaryButton\index.tsx","37","Button","","{expr:style}","","{style}","return <Button className={style} type=""default"" {...rest}>{children}</Button>;"
"app\components\Button\DefaultButton\index.tsx","35","Button","","{expr:style}","","{style}","return <Button type=""default"" className={style} {...rest}  style={{ paddingLeft: 40, paddingRight: 40, borderRadius: 4}}>{children}</Button>;"
"app\components\Button\HoverButton\index.tsx","14","button","","expand-btn","","""expand-btn""","<button className=""expand-btn"" onClick={onClick}>"
"app\components\Button\IconButton\index.tsx","26","Button","","{expr:style}","","{style}","<Button className={style} {...rest}>"
"app\components\Button\LinkButtonLoader.tsx","33","Button","","","","","return <Button {...rest} type={'link'}>{children}</Button>;"
"app\components\Button\NewPrimary\index.tsx","14","button","","new-primary-btn","","""new-primary-btn""","<button className=""new-primary-btn"" onClick={onClick}>"
"app\components\Button\NewSecondaryButton\index.tsx","14","button","","{expr:`new-secondary-btn ${className}","","{`new-secondary-btn","<button className={`new-secondary-btn ${className} ${icon && 'isFlex'}`} onClick={onClick}>"
"app\components\Button\PrimaryButton\index.tsx","36","Button","","{expr:style}","","{style}","return <Button {...rest} type={type} block className={style}>{children}</Button>;"
"app\components\molecules\AvatarAndUpload\ProfilePicCroppingModal\index.tsx","79","","","","","","htmlType=""button"""
"app\components\molecules\AvatarAndUpload\ProfilePicCroppingModal\index.tsx","87","","","","","","htmlType=""button"""
"app\components\molecules\DropdownWithTitle\index.tsx","47","Button","","dropdown-btn","","""dropdown-btn""","<Button className=""dropdown-btn"">"
"app\components\molecules\InputWithMention\index.tsx","109","button","","send-icon","","""send-icon""","<button type=""submit"" className=""send-icon"">"
"app\components\molecules\JobsConnectAccessCard\JobsConnectAccessCard.tsx","30","button","","","","","<button"
"app\components\molecules\ProfileIncompleteSectionCard\ProfileIncompleteSectionCard.tsx","35","","","","","","htmlType=""button"""
"app\components\molecules\ProfileIncompleteSectionCardTemplete\ProfileIncompleteSectionCardTemplete.tsx","137","","","","","","htmlType=""button"""
"app\components\molecules\ProfileTabs\index.tsx","10","Button","","","","","<Button"
"app\components\molecules\RecruiterConsentCard\RecruiterConsentCard.tsx","70","","","","","","htmlType=""button"""
"app\components\old\Button\DefaultButton.tsx","30","Button","","","","","<Button"
"app\components\Pagination\index.tsx","45","button","","","","","<button"
"app\components\Pagination\index.tsx","65","button","","","","","<button"
"app\components\Pagination\index.tsx","83","button","","","","","<button"
"app\components\Pagination\index.tsx","96","button","","","","","<button"
"app\components\TabsSwitcher.tsx\index.tsx","18","button","","","","","<button"
"app\components\TPButton\TPButton.tsx","46","","","","","","htmlType = ""button"","
"app\components\TPButton\TPButton.tsx","58","Button","","","","","<Button"
"app\components\ui\AppButton.tsx","67","","","","","","htmlType = 'button',"
"app\components\ui\AppButton.tsx","111","button","","","","","<button"
"app\components\ui\AppCalendar.tsx","233","button","","","","","<button"
"app\components\ui\AppCalendar.tsx","234","","","","","","type=""button"""
"app\components\ui\AppCalendar.tsx","238","button","","","","","<button"
"app\components\ui\AppCalendar.tsx","239","","","","","","type=""button"""
"app\components\ui\AppCollapse.tsx","184","","","","","","role=""button"""
"app\components\ui\AppDatePicker.tsx","482","","","","","","role=""button"""
"app\components\ui\AppDatePicker.tsx","506","button","","","","","<button"
"app\components\ui\AppDatePicker.tsx","507","","","","","","type=""button"""
"app\components\ui\AppDatePicker.tsx","514","button","","","","","<button"
"app\components\ui\AppDatePicker.tsx","515","","","","","","type=""button"""
"app\components\ui\AppDatePicker.tsx","530","button","","","","","<button"
"app\components\ui\AppDatePicker.tsx","531","","","","","","type=""button"""
"app\components\ui\AppDatePicker.tsx","538","button","","","","","<button"
"app\components\ui\AppDatePicker.tsx","539","","","","","","type=""button"""
"app\components\ui\AppDatePicker.tsx","671","button","","","","","<button"
"app\components\ui\AppDatePicker.tsx","672","","","","","","type=""button"""
"app\components\ui\AppDrawer.tsx","295","button","","","","","<button"
"app\components\ui\AppDrawer.tsx","296","","","","","","type=""button"""
"app\components\ui\AppDropdown.tsx","14","Button","","","","","*   <Button>Dropdown</Button>"
"app\components\ui\AppEmpty.tsx","88","Button","","","","","*   <Button type=""primary"">Create New</Button>"
"app\components\ui\AppInput.tsx","297","button","","","","","<button"
"app\components\ui\AppInput.tsx","298","","","","","","type=""button"""
"app\components\ui\AppMentions.tsx","380","button","","","","","<button"
"app\components\ui\AppMentions.tsx","381","","","","","","type=""button"""
"app\components\ui\AppModal.tsx","177","button","","","","","<button"
"app\components\ui\AppModal.tsx","178","","","","","","type=""button"""
"app\components\ui\AppModal.tsx","185","button","","","","","<button"
"app\components\ui\AppModal.tsx","186","","","","","","type=""button"""
"app\components\ui\AppModal.tsx","257","button","","","","","<button"
"app\components\ui\AppModal.tsx","258","","","","","","type=""button"""
"app\components\ui\AppModal.tsx","472","button","","","","","<button"
"app\components\ui\AppModal.tsx","502","button","","","","","<button"
"app\components\ui\AppModal.tsx","510","button","","","","","<button"
"app\components\ui\AppNotification.tsx","165","button","","","","","<button"
"app\components\ui\AppPagination.tsx","292","button","","","","","<button"
"app\components\ui\AppPagination.tsx","293","","","","","","type=""button"""
"app\components\ui\AppPagination.tsx","325","button","","","","","<button"
"app\components\ui\AppPagination.tsx","326","","","","","","type=""button"""
"app\components\ui\AppPagination.tsx","369","button","","","","","<button"
"app\components\ui\AppPagination.tsx","371","","","","","","type=""button"""
"app\components\ui\AppPagination.tsx","388","button","","","","","<button"
"app\components\ui\AppPagination.tsx","389","","","","","","type=""button"""
"app\components\ui\AppPagination.tsx","415","button","","","","","<button"
"app\components\ui\AppPagination.tsx","416","","","","","","type=""button"""
"app\components\ui\AppPagination.tsx","442","button","","","","","<button"
"app\components\ui\AppPagination.tsx","443","","","","","","type=""button"""
"app\components\ui\AppPopover.tsx","10","button","","","","","*   <button>Hover me</button>"
"app\components\ui\AppSpace.tsx","40","Space","","","","","* <Space size=""middle""><Button>One</Button><Button>Two</Button></Space>"
"app\components\ui\AppSwitch.tsx","98","button","","","","","<button"
"app\components\ui\AppSwitch.tsx","100","","","","","","type=""button"""
"app\components\ui\AppTable.tsx","380","button","","","","","<button"
